sample,cnf-01-run-1,cnf-01-run-2,cnf-01-run-3,cnf-02-run-1,cnf-02-run-2,cnf-02-run-3,cnf-03-run-1,cnf-03-run-2,cnf-03-run-3,cnf-04-run-1,cnf-04-run-2,cnf-04-run-3,cnf-05-run-1,cnf-05-run-2,cnf-05-run-3,cnf-06-run-1,cnf-06-run-2,cnf-06-run-3,cnf-07-run-1,cnf-07-run-2,cnf-07-run-3,cnf-08-run-1,cnf-08-run-2,cnf-08-run-3,cnf-09-run-1,cnf-09-run-2,cnf-09-run-3
HG00274,False,False,True,True,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True
HG00275,False,False,False,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,False,False,True
HG00276,False,True,True,True,False,True,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
HG00277,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True
HG00278,False,False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True
HG00280,False,False,True,False,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False
HG00281,False,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,True,False,True
HG00282,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False
HG00284,True,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False
HG00285,True,False,True,True,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True
HG00288,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True
HG00290,True,False,True,False,False,True,False,True,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False
HG00304,False,True,True,True,True,False,False,True,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True
HG00306,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,True,True,False
HG00308,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,True,True,True
HG00309,False,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,True,False,True
